lag,i,sample_size,algorithm,TPR,FDR,SHD
2,4,500,BOSS-LiNGAM,0.333333333,0.9375,17
2,4,500,CD-NOD,0.25,0.5,8
2,4,500,CFCI,0.333333333,0.909090909,12
2,4,500,CPC,0.0,1.0,12
2,4,500,DCD,0.889,0.0,1
2,4,500,PCMCI+,0.25,0.833,8
2,4,1000,BOSS-LiNGAM,0.333333333,0.9375,17
2,4,1000,CD-NOD,0.25,0.5,8
2,4,1000,CFCI,0.333333333,0.9,11
2,4,1000,CPC,0.0,1.0,13
2,4,1000,DCD,0.78,0.125,3
2,4,1000,PCMCI+,0.25,0.75,6
2,4,1500,BOSS-LiNGAM,0.333333333,0.928571429,15
2,4,1500,CD-NOD,0.25,0.5,8
2,4,1500,CFCI,0.333333333,0.9,11
2,4,1500,CPC,0.0,1.0,11
2,4,1500,DCD,0.78,0.125,3
2,4,1500,PCMCI+,0.0,1.0,7
2,6,500,BOSS-LiNGAM,0.25,0.9375,18
2,6,500,CD-NOD,0.181818182,0.6,12
2,6,500,CFCI,0.333333333,0.866666667,17
2,6,500,CPC,0.25,0.916666667,14
2,6,500,DCD,0.769230769,0.285714286,7
2,6,500,PCMCI+,0.166666667,0.875,12
2,6,1000,BOSS-LiNGAM,0.333333333,0.866666667,17
2,6,1000,CD-NOD,0.181818182,0.6,12
2,6,1000,CFCI,0.333333333,0.875,18
2,6,1000,CPC,0.333333333,0.833333333,14
2,6,1000,DCD,0.769230769,0.285714286,7
2,6,1000,PCMCI+,0.166666667,0.857142857,11
2,6,1500,BOSS-LiNGAM,0.5,0.875,16
2,6,1500,CD-NOD,0.181818182,0.6,12
2,6,1500,CFCI,0.5,0.875,16
2,6,1500,CPC,0.25,0.916666667,14
2,6,1500,DCD,0.769230769,0.285714286,7
2,6,1500,PCMCI+,0.0,1.0,7
2,8,500,BOSS-LiNGAM,0.4,0.84,27
2,8,500,CD-NOD,0.285714286,0.6,8
2,8,500,CFCI,0.3,0.863636364,26
2,8,500,CPC,0.2,0.882352941,23
2,8,500,DCD,0.785714286,0.388888889,10
2,8,500,PCMCI+,0.25,0.75,12
2,8,1000,BOSS-LiNGAM,0.25,0.913043478,27
2,8,1000,CD-NOD,0.285714286,0.6,8
2,8,1000,CFCI,0.25,0.875,20
2,8,1000,CPC,0.25,0.846153846,17
2,8,1000,DCD,0.785714286,0.352941176,9
2,8,1000,PCMCI+,0.25,0.75,12
2,8,1500,BOSS-LiNGAM,0.25,0.913043478,27
2,8,1500,CD-NOD,0.285714286,0.6,8
2,8,1500,CFCI,0.25,0.875,20
2,8,1500,CPC,0.25,0.857142857,18
2,8,1500,DCD,0.785714286,0.388888889,10
2,8,1500,PCMCI+,0.25,0.75,12
2,10,500,BOSS-LiNGAM,0.4,0.826086957,25
2,10,500,CD-NOD,0.222222222,0.6,10
2,10,500,CFCI,0.3,0.875,28
2,10,500,CPC,0.2,0.888888889,24
2,10,500,DCD,0.764705882,0.380952381,12
2,10,500,PCMCI+,0.3,0.727272727,15
2,10,1000,BOSS-LiNGAM,0.4,0.84,27
2,10,1000,CD-NOD,0.222222222,0.6,10
2,10,1000,CFCI,0.3,0.863636364,26
2,10,1000,CPC,0.2,0.882352941,23
2,10,1000,DCD,0.764705882,0.380952381,12
2,10,1000,PCMCI+,0.3,0.7,14
2,10,1500,BOSS-LiNGAM,0.4,0.833333333,26
2,10,1500,CD-NOD,0.222222222,0.6,10
2,10,1500,CFCI,0.3,0.863636364,26
2,10,1500,CPC,0.2,0.875,22
2,10,1500,DCD,0.764705882,0.409090909,13
2,10,1500,PCMCI+,0.3,0.7,14
3,4,500,BOSS-LiNGAM,0.222222222,0.9,25
3,4,500,CD-NOD,0.22,0.5,9
3,4,500,CFCI,0.222222222,0.875,21
3,4,500,CPC,0.111111111,0.923076923,20
3,4,500,DCD,0.8,0.11,3
3,4,500,PCMCI+,0.4,0.33,4
3,4,1000,BOSS-LiNGAM,0.222222222,0.909090909,27
3,4,1000,CD-NOD,0.22,0.5,9
3,4,1000,CFCI,0.222222222,0.882352941,22
3,4,1000,CPC,0.111111111,0.933333333,22
3,4,1000,DCD,0.9,0.1,2
3,4,1000,PCMCI+,0.6,0.25,3
3,4,1500,BOSS-LiNGAM,0.222222222,0.888888889,23
