Variables,Samples,Lag,TPR,FDR,SHD
4,500,2,0.750,0.786,12
4,500,4,0.500,0.909,22
4,500,6,0.500,0.909,22
4,1000,2,0.750,0.812,14
4,1000,4,0.500,0.895,19
4,1000,6,0.500,0.913,23
4,1500,2,0.750,0.824,15
4,1500,4,0.500,0.905,21
4,1500,6,0.500,0.905,21
6,500,2,0.500,0.875,24
6,500,4,0.333,0.931,31
6,500,6,0.500,0.919,37
6,1000,2,0.667,0.852,25
6,1000,4,0.500,0.932,44
6,1000,6,0.500,0.942,52
6,1500,2,0.500,0.889,27
6,1500,4,0.500,0.927,41
6,1500,6,0.500,0.949,59
8,500,2,0.375,0.880,27
8,500,4,0.250,0.947,42
8,500,6,0.250,0.943,39
8,1000,2,0.375,0.903,33
8,1000,4,0.375,0.929,44
8,1000,6,0.375,0.939,51
8,1500,2,0.375,0.903,33
8,1500,4,0.375,0.929,44
8,1500,6,0.375,0.944,56
